曲名	アーティスト	作詞	作曲	編曲	Writer	確認事項
愛を伝えたいだとか	あいみょん	あいみょん	あいみょん			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
I'm Your Treasure Box *あなたは マリンせんちょうを たからばこからみつけた。	宝鐘マリン	かめりあ、U.Z. INU	U.Z. INU	かめりあ		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
青空のラプソディ	fhána	林英樹	佐藤純一			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
阿修羅ちゃん	Ado	Neru	Neru	Neru		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
貴方の恋人になりたい	チョーキューメイ	麗	麗			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
嵐の中で輝いて	米倉千尋	渡辺なつみ	三浦一年			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
いけないボーダーライン	ワルキューレ	西直紀	小森田実	小森田実		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
いつかのメリークリスマス	B’z	稲葉浩志	松本孝弘			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
言って。	ヨルシカ	n-buna	n-buna	n-buna		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
嘘	シド	マオ	ゆうや	西平彰、シド		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
ETERNAL BLAZE	水樹奈々	水樹奈々	上松範康	上松範康	水樹奈々	MusicBrainz候補。配信前にCD・公式サイト等で要確認。
Anything Goes!	大黒摩季	藤林聖子	tatsuo	tatsuo、中川幸太郎		YAMAHA楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。
Endless Story	田村ゆかり	松井五郎	太田雅友	太田雅友		田村ゆかり公式・商品情報で追加確認。配信前にCD・公式サイト等で要確認。 入力表記「Endress Story」を「Endless Story」へ補正。
Os-宇宙人	エリオをかまってちゃん	の子	の子			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
OVERLAP	KIMERU	Kimeru	渋谷郁央	藤田宜久		楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。
おもかげ	林原めぐみ	林原めぐみ	たかはしごう	たかはしごう		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
おやすみ泣き声、さよなら歌姫	クリープハイプ	尾崎世界観	尾崎世界観			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
風になる	つじあやの	つじあやの	つじあやの			YAMAHA楽曲情報で追加確認。配信前にCD・公式サイト等で要確認。
奏	スキマスイッチ	大橋卓弥、常田真太郎	大橋卓弥、常田真太郎			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
神っぽいな	ピノキオピー feat. 初音ミク	ピノキオピー	ピノキオピー	ピノキオピー		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
喝采	ちあきなおみ	吉田旺	中村秦士			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
怪獣の花唄	Vaundy	Vaundy	Vaundy			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
怪物	YOASOBI	Ayase	Ayase	Ayase		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
可愛くてごめん	HoneyWorks	shito	shito			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
からくりピエロ	40mP feat. 初音ミク	40mP	40mP			MusicBrainz候補。配信前にCD・公式サイト等で要確認。
KissHug	aiko	aiko	aiko	島田昌典		MusicBrainz候補。配信前にCD・公式サイト等で要確認。
